run_id,started_at,kernel,m,n,k,block_x,block_y,tile_k,warmup,repeats,avg_ms,min_ms,max_ms,gflops,verified,max_abs_error,checksum
1,2026-06-15T00:36:35,global2d,512,512,512,8,8,8,4,12,0.052736,0.051520,0.054432,5090.174712,yes,0.000009,4486.768464
2,2026-06-15T00:36:35,global2d_btrans,512,512,512,8,8,8,4,12,0.114331,0.111520,0.119872,2347.886723,yes,0.000009,4486.768464
3,2026-06-15T00:36:35,shared_tiled,512,512,512,8,8,8,4,12,0.089227,0.088320,0.090048,3008.466659,yes,0.000009,4486.768464
4,2026-06-15T00:36:35,global2d,512,512,512,16,16,16,4,12,0.047765,0.046176,0.052224,5619.880392,yes,0.000009,4486.768464
5,2026-06-15T00:36:35,global2d_btrans,512,512,512,16,16,16,4,12,0.181144,0.179456,0.181984,1481.889873,yes,0.000009,4486.768464
6,2026-06-15T00:36:35,shared_tiled,512,512,512,16,16,16,4,12,0.063651,0.062528,0.065024,4217.323491,yes,0.000009,4486.768464
7,2026-06-15T00:36:36,global2d,512,512,512,32,8,32,4,12,0.046243,0.045344,0.048032,5804.930271,yes,0.000009,4486.768464
8,2026-06-15T00:36:36,global2d_btrans,512,512,512,32,8,32,4,12,0.325488,0.324640,0.326720,824.716896,yes,0.000009,4486.768464
9,2026-06-15T00:36:36,shared_tiled,512,512,512,32,8,32,4,12,0.057237,0.055680,0.065792,4689.866544,yes,0.000009,4486.768464
10,2026-06-15T00:36:36,global2d,512,512,512,8,32,8,4,12,0.063093,0.060736,0.071168,4254.577186,yes,0.000009,4486.768464
11,2026-06-15T00:36:36,global2d_btrans,512,512,512,8,32,8,4,12,0.122461,0.121888,0.124032,2192.001777,yes,0.000009,4486.768464
12,2026-06-15T00:36:36,shared_tiled,512,512,512,8,32,8,4,12,0.094893,0.093312,0.096128,2828.812538,yes,0.000009,4486.768464
13,2026-06-15T00:36:37,global2d,512,512,512,32,16,32,4,12,0.052432,0.051264,0.053600,5119.687487,yes,0.000009,4486.768464
14,2026-06-15T00:36:37,global2d_btrans,512,512,512,32,16,32,4,12,0.369757,0.368960,0.370048,725.977372,yes,0.000009,4486.768464
15,2026-06-15T00:36:37,shared_tiled,512,512,512,32,16,32,4,12,0.066595,0.065696,0.067040,4030.885169,yes,0.000009,4486.768464
16,2026-06-15T00:36:37,global2d,512,512,512,16,32,16,4,12,0.054304,0.052384,0.057504,4943.198558,yes,0.000009,4486.768464
17,2026-06-15T00:36:37,global2d_btrans,512,512,512,16,32,16,4,12,0.201944,0.201728,0.202816,1329.256904,yes,0.000009,4486.768464
18,2026-06-15T00:36:37,shared_tiled,512,512,512,16,32,16,4,12,0.075619,0.074752,0.077056,3549.857055,yes,0.000009,4486.768464
19,2026-06-15T00:36:38,global2d,512,512,512,32,32,32,4,12,0.053032,0.052320,0.053728,5061.763772,yes,0.000009,4486.768464
20,2026-06-15T00:36:38,global2d_btrans,512,512,512,32,32,32,4,12,0.369995,0.369568,0.371904,725.511693,yes,0.000009,4486.768464
21,2026-06-15T00:36:38,shared_tiled,512,512,512,32,32,32,4,12,0.071520,0.070688,0.073536,3753.292101,yes,0.000009,4486.768464
22,2026-06-15T00:36:38,global1d,512,512,512,128,1,128,4,12,0.053685,0.052288,0.055552,5000.163696,yes,0.000009,4486.768464
23,2026-06-15T00:36:38,global1d,512,512,512,256,1,256,4,12,0.053000,0.050656,0.056544,5064.819955,yes,0.000009,4486.768464
24,2026-06-15T00:36:38,global1d,512,512,512,512,1,512,4,12,0.053013,0.050272,0.062688,5063.546067,yes,0.000009,4486.768464
25,2026-06-15T00:36:39,global1d,512,512,512,1024,1,1024,4,12,0.056363,0.055328,0.057216,4762.646442,yes,0.000009,4486.768464
26,2026-06-15T00:36:39,global2d,1024,1024,1024,8,8,8,4,12,0.374936,0.371616,0.380064,5727.600579,yes,0.000018,-1613.025179
27,2026-06-15T00:36:39,global2d_btrans,1024,1024,1024,8,8,8,4,12,0.842341,0.834528,0.853184,2549.422143,yes,0.000018,-1613.025179
28,2026-06-15T00:36:39,shared_tiled,1024,1024,1024,8,8,8,4,12,0.500608,0.498720,0.503456,4289.751047,yes,0.000018,-1613.025179
29,2026-06-15T00:36:39,global2d,1024,1024,1024,16,16,16,4,12,0.298819,0.297984,0.301280,7186.578008,yes,0.000018,-1613.025179
30,2026-06-15T00:36:40,global2d_btrans,1024,1024,1024,16,16,16,4,12,1.274027,1.272448,1.275072,1685.587682,yes,0.000018,-1613.025179
31,2026-06-15T00:36:40,shared_tiled,1024,1024,1024,16,16,16,4,12,0.377549,0.375680,0.379136,5687.955048,yes,0.000018,-1613.025179
32,2026-06-15T00:36:40,global2d,1024,1024,1024,32,8,32,4,12,0.296165,0.295904,0.297216,7250.962143,yes,0.000018,-1613.025179
33,2026-06-15T00:36:40,global2d_btrans,1024,1024,1024,32,8,32,4,12,2.305003,2.300896,2.313280,931.662109,yes,0.000018,-1613.025179
