method,optimization,input_size,input_channels,kernel,out_channels,stride,padding,out_h,out_w,warmup,iterations,mean_ms,std_ms,min_ms,gflops,workspace_mb,im2col_ms,gemm_ms,max_abs_error,checksum,notes,gpu
direct_baseline,baseline,256,3,3,1,1,1,256,256,6,60,0.004007,0.001252,0.003104,883.087582,0.000000,0.000000,0.000000,0.000000,-54.900222,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,256,3,3,1,1,1,256,256,6,60,0.004804,0.000636,0.003296,736.707005,0.000000,0.000000,0.000000,0.000000,-54.900222,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,256,3,3,1,1,1,256,256,6,60,0.004447,0.000843,0.003264,795.721312,0.000000,0.000000,0.000000,0.000000,-54.900222,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,256,3,3,1,1,1,256,256,6,60,0.005092,0.000527,0.004160,695.037183,0.000000,0.000000,0.000000,0.000000,-54.900222,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
implicit_im2col,implicit_im2col,256,3,3,1,1,1,256,256,6,60,0.004972,0.000471,0.004192,711.736565,0.000000,0.000000,0.000000,0.000000,-54.900222,GEMM-like block layout without materialized columns,NVIDIA GeForce RTX 5090
tensor_core_tf32,tensor_core_tf32_gemmex,256,3,3,1,1,1,256,256,6,60,0.022172,0.000978,0.021056,159.615126,6.750000,0.007766,0.006613,0.000000,-54.900229,explicit im2col plus cublasGemmEx FAST_TF32,NVIDIA GeForce RTX 5090
direct_baseline,baseline,256,3,3,1,2,1,128,128,6,60,0.003833,0.000738,0.003072,230.848877,0.000000,0.000000,0.000000,0.000000,24.551269,one thread per output,NVIDIA GeForce RTX 5090
shared_tile,shared_memory_tiling,256,3,3,1,2,1,128,128,6,60,0.005079,0.000437,0.004160,174.178915,0.000000,0.000000,0.000000,0.000000,24.551269,"16x16 output tile, shared input tile",NVIDIA GeForce RTX 5090
register_block2,register_blocking,256,3,3,1,2,1,128,128,6,60,0.005284,0.001025,0.004000,167.428341,0.000000,0.000000,0.000000,0.000000,24.551269,one thread computes two neighboring outputs,NVIDIA GeForce RTX 5090
cross_channel4,cross_output_channel_reuse,256,3,3,1,2,1,128,128,6,60,0.005177,0.000349,0.004256,170.895231,0.000000,0.000000,0.000000,0.000000,24.551269,one thread reuses input patch for four filters,NVIDIA GeForce RTX 5090
