input_size,out_channels,stride,main_best_method,main_best_ms,appendix_best_method,appendix_best_ms,speedup
256,128,3,direct_cuda,0.017406,cross_channel4,0.009175,1.8971117166212534
1024,16,3,cudnn,0.024828,cross_channel4,0.013344,1.8606115107913668
512,64,3,im2col_cublas,0.022789,cross_channel4,0.01336,1.7057634730538922
1024,16,2,cudnn,0.035905,cross_channel4,0.02152,1.6684479553903344
512,16,1,cudnn,0.035504,cross_channel4,0.0217,1.6361290322580646
2048,16,3,cudnn,0.061537,cross_channel4,0.03811,1.614720545788507
512,16,2,direct_cuda,0.014738,cross_channel4,0.009284,1.5874623007324427
256,128,2,im2col_cublas,0.021234,cross_channel4,0.013625,1.5584587155963303
512,16,3,direct_cuda,0.010989,cross_channel4,0.007127,1.5418829802160798
256,64,3,direct_cuda,0.010962,cross_channel4,0.00718,1.526740947075209
256,16,1,direct_cuda,0.011853,cross_channel4,0.00778,1.523521850899743
512,64,2,im2col_cublas,0.030858,cross_channel4,0.021525,1.433588850174216
256,64,2,direct_cuda,0.013339,cross_channel4,0.009318,1.4315303713243186
256,64,1,im2col_cublas,0.030578,cross_channel4,0.021616,1.4146002960769801
2048,16,2,cudnn,0.106639,cross_channel4,0.078957,1.3505958939676026
1024,16,1,cudnn,0.104394,cross_channel4,0.0773,1.3505045278137129
256,16,2,direct_cuda,0.006662,cross_channel4,0.00506,1.316600790513834
2048,1,1,direct_cuda,0.038856,register_block2,0.029734,1.3067868433443197
1024,1,2,direct_cuda,0.006999,register_block2,0.005609,1.2478160099839544
4096,1,1,direct_cuda,0.203579,register_block2,0.163168,1.2476649833300648
512,128,3,im2col_cublas,0.026682,cross_channel4,0.021572,1.2368811422213981
4096,16,1,cudnn,1.511469,cross_channel4,1.246131,1.2129294592623086
1024,1,1,direct_cuda,0.012036,register_block2,0.010171,1.183364467603972
256,1,3,direct_cuda,0.003893,implicit_im2col,0.003293,1.1822046765866991
2048,64,3,im2col_cublas,0.176709,cross_channel4,0.150043,1.1777223862492752
512,1,1,direct_cuda,0.005685,register_block2,0.004971,1.143633071816536
2048,64,2,cudnn,0.350763,cross_channel4,0.308087,1.138519314349518
1024,64,2,im2col_cublas,0.089129,cross_channel4,0.078836,1.130562179714851
2048,16,1,cudnn,0.388544,cross_channel4,0.347706,1.1174497995432924
1024,64,1,im2col_cublas,0.345396,cross_channel4,0.310156,1.1136202427165685
512,64,1,im2col_cublas,0.085297,cross_channel4,0.07719,1.1050265578442804
4096,64,1,cudnn,5.304196,cross_channel4,4.899563,1.0825855285461174
256,1,2,direct_cuda,0.003632,implicit_im2col,0.003387,1.0723354000590493
256,16,3,direct_cuda,0.005131,implicit_im2col,0.004881,1.051219012497439
2048,64,1,cudnn,1.338468,cross_channel4,1.276997,1.0481371530238521
4096,128,2,cudnn,2.678612,cross_channel4,2.57056,1.0420344205153742
512,1,2,direct_cuda,0.004623,direct_baseline,0.004469,1.0344596106511526
1024,64,3,im2col_cublas,0.038982,cross_channel4,0.038124,1.0225055083412025
512,1,3,direct_cuda,0.004026,implicit_im2col,0.003947,1.020015201418799
