method,input_size,input_channels,kernel,out_channels,stride,padding,out_h,out_w,warmup,iterations,mean_ms,std_ms,min_ms,gflops,workspace_mb,im2col_ms,gemm_ms,max_abs_error,checksum,sample0,sample1,sample2,sample3,algorithm,gpu
direct_cuda,256,3,3,1,1,1,256,256,8,80,0.004027,0.000836,0.003136,878.760436,0.000000,0.000000,0.000000,0.000000,9.238995,-0.067996,-0.058663,0.085334,-0.424551,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,1,1,1,256,256,8,80,0.011573,0.000968,0.010752,305.798423,6.750000,0.007222,0.004351,0.000000,9.238989,-0.067996,-0.058663,0.085334,-0.424551,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,1,1,1,256,256,8,80,0.012901,0.000902,0.012384,274.311229,0.000000,0.000000,0.000000,0.000000,9.238995,-0.067996,-0.058663,0.085334,-0.424551,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,1,2,1,128,128,8,80,0.003816,0.001225,0.003072,231.849059,0.000000,0.000000,0.000000,0.000000,2.301030,-0.067996,0.085334,0.230699,0.005768,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,1,2,1,128,128,8,80,0.008510,0.000613,0.006976,103.959391,1.687500,0.003288,0.005222,0.000000,2.301032,-0.067996,0.085334,0.230699,0.005768,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,1,2,1,128,128,8,80,0.012838,0.001169,0.012320,68.913260,0.000000,0.000000,0.000000,0.000000,2.301030,-0.067996,0.085334,0.230699,0.005768,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,256,3,3,1,3,1,86,86,8,80,0.004091,0.001376,0.003104,97.620260,0.000000,0.000000,0.000000,0.000000,5.768311,-0.067996,-0.424551,0.005768,0.008468,-,NVIDIA GeForce RTX 5090
im2col_cublas,256,3,3,1,3,1,86,86,8,80,0.011358,0.000362,0.010592,35.164471,0.761765,0.003076,0.008281,0.000000,5.768309,-0.067996,-0.424551,0.005768,0.008468,-,NVIDIA GeForce RTX 5090
cudnn,256,3,3,1,3,1,86,86,8,80,0.013065,0.000762,0.012096,30.568533,0.000000,0.000000,0.000000,0.000000,5.768311,-0.067996,-0.424551,0.005768,0.008468,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,1,1,1,512,512,8,60,0.005475,0.000519,0.004800,2585.687286,0.000000,0.000000,0.000000,0.000000,-11.171459,0.030563,0.114044,-0.069671,-0.113191,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,1,1,1,512,512,8,60,0.027932,0.000840,0.026912,506.799053,27.000000,0.019466,0.008466,0.000000,-11.171479,0.030563,0.114044,-0.069671,-0.113191,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,1,1,1,512,512,8,60,0.017299,0.000585,0.016480,818.316027,0.000000,0.000000,0.000000,0.000000,-11.171459,0.030563,0.114044,-0.069671,-0.113191,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,1,2,1,256,256,8,60,0.004305,0.000790,0.003200,822.143486,0.000000,0.000000,0.000000,0.000000,-23.953353,0.030563,-0.069671,-0.116775,-0.054432,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,1,2,1,256,256,8,60,0.011679,0.001191,0.010432,303.005618,6.750000,0.007311,0.004369,0.000000,-23.953355,0.030563,-0.069671,-0.116775,-0.054432,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,1,2,1,256,256,8,60,0.013007,0.001247,0.012288,272.081353,0.000000,0.000000,0.000000,0.000000,-23.953353,0.030563,-0.069671,-0.116775,-0.054432,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,512,3,3,1,3,1,171,171,8,60,0.004069,0.000869,0.003168,388.027690,0.000000,0.000000,0.000000,0.000000,52.889676,0.030563,-0.113191,-0.054432,-0.005003,-,NVIDIA GeForce RTX 5090
im2col_cublas,512,3,3,1,3,1,171,171,8,60,0.009241,0.000311,0.008416,170.879099,3.011730,0.005161,0.004080,0.000000,52.889671,0.030563,-0.113191,-0.054432,-0.005003,-,NVIDIA GeForce RTX 5090
cudnn,512,3,3,1,3,1,171,171,8,60,0.014027,0.000638,0.012704,112.568011,0.000000,0.000000,0.000000,0.000000,52.889676,0.030563,-0.113191,-0.054432,-0.005003,IMPLICIT_GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,1,1,1,1024,1024,8,35,0.011922,0.000725,0.011232,4749.349686,0.000000,0.000000,0.000000,0.000000,69.065388,0.083073,0.217271,-0.175348,0.063304,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,1,1,1,1024,1024,8,35,0.118213,0.001564,0.117408,478.993923,108.000000,0.075297,0.042916,0.000000,69.065362,0.083073,0.217271,-0.175348,0.063304,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,1,1,1,1024,1024,8,35,0.035312,0.000411,0.035008,1603.488090,0.000000,0.000000,0.000000,0.000000,69.065388,0.083073,0.217271,-0.175348,0.063304,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,1,2,1,512,512,8,35,0.007077,0.000521,0.006144,2000.113674,0.000000,0.000000,0.000000,0.000000,1.932345,0.083073,-0.175348,0.013420,0.001283,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,1,2,1,512,512,8,35,0.028079,0.000959,0.027008,504.147697,27.000000,0.019535,0.008544,0.000000,1.932334,0.083073,-0.175348,0.013420,0.001283,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,1,2,1,512,512,8,35,0.016863,0.000370,0.016480,839.453492,0.000000,0.000000,0.000000,0.000000,1.932345,0.083073,-0.175348,0.013420,0.001283,GEMM,NVIDIA GeForce RTX 5090
direct_cuda,1024,3,3,1,3,1,342,342,8,35,0.005105,0.000453,0.004064,1237.139375,0.000000,0.000000,0.000000,0.000000,6.321372,0.083073,0.063304,0.001283,-0.092172,-,NVIDIA GeForce RTX 5090
im2col_cublas,1024,3,3,1,3,1,342,342,8,35,0.017287,0.000405,0.015456,365.357847,12.046921,0.011146,0.006141,0.000000,6.321372,0.083073,0.063304,0.001283,-0.092172,-,NVIDIA GeForce RTX 5090
cudnn,1024,3,3,1,3,1,342,342,8,35,0.014255,0.000758,0.012640,443.088080,0.000000,0.000000,0.000000,0.000000,6.321372,0.083073,0.063304,0.001283,-0.092172,GEMM,NVIDIA GeForce RTX 5090
