impl,schedule,M,N,K,threads,time_sec,gflops,checksum,max_error
openmp,default,64,64,64,4,0.000088,5.958,6.6515172338e+04,0.000e+00
pthread,static-block,64,64,64,4,0.000095,5.499,6.6515172338e+04,0.000e+00
openmp,default,512,512,512,1,0.044935,5.974,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,2,0.022484,11.939,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,3,0.015071,17.812,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,4,0.011601,23.139,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,5,0.009411,28.523,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,6,0.007846,34.213,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,7,0.006765,39.679,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,8,0.005944,45.158,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,9,0.005149,52.132,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,10,0.005172,51.902,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,11,0.004619,58.110,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,12,0.004089,65.653,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,13,0.003883,69.129,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,14,0.003571,75.164,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,15,0.003489,76.928,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,16,0.003378,79.468,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,17,0.003279,81.854,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,18,0.003152,85.174,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,19,0.003074,87.328,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,20,0.003106,86.413,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,21,0.003438,78.088,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,22,0.002987,89.857,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,23,0.002966,90.513,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,24,0.003304,81.247,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,25,0.002446,109.742,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,26,0.002929,91.644,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,27,0.002483,108.128,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,28,0.002249,119.333,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,29,0.003054,87.911,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,30,0.003149,85.256,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,31,0.002981,90.062,3.3554434859e+07,-1.000e+00
openmp,default,512,512,512,32,0.003190,84.149,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,1,0.047040,5.707,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,2,0.022543,11.908,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,3,0.015150,17.718,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,4,0.011757,22.832,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,5,0.009230,29.082,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,6,0.007839,34.243,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,7,0.006597,40.692,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,8,0.005962,45.021,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,9,0.005245,51.177,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,10,0.004787,56.076,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,11,0.004326,62.047,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,12,0.004120,65.151,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,13,0.003733,71.918,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,14,0.003555,75.501,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,15,0.003358,79.944,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,16,0.003417,78.560,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,17,0.003271,82.076,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,18,0.003190,84.146,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,19,0.002916,92.041,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,20,0.002850,94.188,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,21,0.002748,97.690,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,22,0.002771,96.864,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,23,0.002679,100.186,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,24,0.003024,88.771,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,25,0.002651,101.273,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,26,0.002881,93.162,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,27,0.005497,48.829,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,28,0.002529,106.156,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,29,0.002610,102.843,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,30,0.002402,111.744,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,31,0.003186,84.255,3.3554434859e+07,-1.000e+00
openmp,static1,512,512,512,32,0.003388,79.222,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,1,0.045429,5.909,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,2,0.022654,11.850,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,3,0.015079,17.802,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,4,0.011393,23.562,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,5,0.009318,28.808,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,6,0.007752,34.629,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,7,0.006611,40.606,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,8,0.005780,46.438,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,9,0.005195,51.676,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,10,0.004685,57.301,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,11,0.004288,62.607,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,12,0.003983,67.396,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,13,0.003726,72.051,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,14,0.003459,77.606,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,15,0.003210,83.631,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,16,0.003111,86.298,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,17,0.003052,87.949,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,18,0.002919,91.951,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,19,0.002777,96.662,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,20,0.002715,98.881,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,21,0.002586,103.800,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,22,0.002549,105.328,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,23,0.002395,112.066,3.3554434859e+07,-1.000e+00
openmp,dynamic1,512,512,512,24,0.002394,112.150,3.3554434859e+07,-1.000e+00
