impl,schedule,threads,best_sec,median_sec,speedup_vs_openmp_1t
openmp,dynamic,1,2.551421,2.551421,0.99
openmp,dynamic,2,1.876086,1.876086,1.35
openmp,dynamic,4,1.123688,1.123688,2.25
openmp,dynamic,8,0.453578,0.453578,5.57
openmp,dynamic,16,1.002696,1.002696,2.52
openmp,dynamic,32,23.940568,23.940568,0.11
openmp,guided,1,2.545296,2.545296,0.99
openmp,guided,2,1.486763,1.486763,1.70
openmp,guided,4,0.902273,0.902273,2.80
openmp,guided,8,0.769955,0.769955,3.28
openmp,guided,16,0.766845,0.766845,3.29
openmp,guided,32,23.985089,23.985089,0.11
openmp,static,1,2.525991,2.525991,1.00
openmp,static,2,1.573235,1.573235,1.61
openmp,static,4,0.786515,0.786515,3.21
openmp,static,8,0.595842,0.595842,4.24
openmp,static,16,0.389290,0.389290,6.49
openmp,static,32,18.769889,18.769889,0.13
pthread,dynamic,1,2.700206,2.700206,0.94
pthread,dynamic,2,1.477658,1.477658,1.71
pthread,dynamic,4,0.890842,0.890842,2.84
pthread,dynamic,8,0.623317,0.623317,4.05
pthread,dynamic,16,0.843159,0.843159,3.00
pthread,dynamic,32,2.712072,2.712072,0.93
pthread,guided,1,2.614154,2.614154,0.97
pthread,guided,2,1.381098,1.381098,1.83
pthread,guided,4,0.827370,0.827370,3.05
pthread,guided,8,0.616517,0.616517,4.10
pthread,guided,16,0.787573,0.787573,3.21
pthread,guided,32,2.590769,2.590769,0.97
pthread,static,1,2.620641,2.620641,0.96
pthread,static,2,1.400982,1.400982,1.80
pthread,static,4,0.952069,0.952069,2.65
pthread,static,8,0.729026,0.729026,3.46
pthread,static,16,1.005676,1.005676,2.51
pthread,static,32,1.971765,1.971765,1.28
