impl,schedule,M,N,threads,chunk,iterations,diff,time_sec,checksum,repeat
openmp,static,500,500,1,8,16966,0.000999992,2.524401,21490.633363,0
openmp,static,500,500,1,8,16966,0.000999992,2.572675,21490.633363,1
openmp,static,500,500,1,8,16966,0.000999992,2.553233,21490.633363,2
openmp,static,500,500,2,8,16966,0.000999992,1.517800,21490.633363,0
openmp,static,500,500,2,8,16966,0.000999992,1.530942,21490.633363,1
openmp,static,500,500,2,8,16966,0.000999992,1.594767,21490.633363,2
openmp,static,500,500,4,8,16966,0.000999992,0.824592,21490.633363,0
openmp,static,500,500,4,8,16966,0.000999992,0.777903,21490.633363,1
openmp,static,500,500,4,8,16966,0.000999992,0.835765,21490.633363,2
openmp,static,500,500,8,8,16966,0.000999992,0.617658,21490.633363,0
openmp,static,500,500,8,8,16966,0.000999992,0.409867,21490.633363,1
openmp,static,500,500,8,8,16966,0.000999992,0.707544,21490.633363,2
openmp,static,500,500,16,8,16966,0.000999992,0.507067,21490.633363,0
openmp,static,500,500,16,8,16966,0.000999992,0.692029,21490.633363,1
openmp,static,500,500,16,8,16966,0.000999992,0.605988,21490.633363,2
openmp,static,500,500,32,8,16966,0.000999992,1.105946,21490.633363,0
openmp,static,500,500,32,8,16966,0.000999992,1.600557,21490.633363,1
openmp,static,500,500,32,8,16966,0.000999992,1.015963,21490.633363,2
openmp,dynamic,500,500,1,8,16966,0.000999992,2.514608,21490.633363,0
openmp,dynamic,500,500,1,8,16966,0.000999992,2.555853,21490.633363,1
openmp,dynamic,500,500,1,8,16966,0.000999992,2.509561,21490.633363,2
openmp,dynamic,500,500,2,8,16966,0.000999992,1.705200,21490.633363,0
openmp,dynamic,500,500,2,8,16966,0.000999992,1.729992,21490.633363,1
openmp,dynamic,500,500,2,8,16966,0.000999992,1.677590,21490.633363,2
openmp,dynamic,500,500,4,8,16966,0.000999992,0.951035,21490.633363,0
openmp,dynamic,500,500,4,8,16966,0.000999992,1.146297,21490.633363,1
openmp,dynamic,500,500,4,8,16966,0.000999992,1.093615,21490.633363,2
openmp,dynamic,500,500,8,8,16966,0.000999992,1.032545,21490.633363,0
openmp,dynamic,500,500,8,8,16966,0.000999992,0.992890,21490.633363,1
openmp,dynamic,500,500,8,8,16966,0.000999992,1.140448,21490.633363,2
openmp,dynamic,500,500,16,8,16966,0.000999992,0.966676,21490.633363,0
openmp,dynamic,500,500,16,8,16966,0.000999992,0.960966,21490.633363,1
openmp,dynamic,500,500,16,8,16966,0.000999992,0.982973,21490.633363,2
openmp,dynamic,500,500,32,8,16966,0.000999992,1.714986,21490.633363,0
openmp,dynamic,500,500,32,8,16966,0.000999992,2.035376,21490.633363,1
openmp,dynamic,500,500,32,8,16966,0.000999992,1.978008,21490.633363,2
openmp,guided,500,500,1,8,16966,0.000999992,2.483524,21490.633363,0
openmp,guided,500,500,1,8,16966,0.000999992,2.493507,21490.633363,1
openmp,guided,500,500,1,8,16966,0.000999992,2.563877,21490.633363,2
openmp,guided,500,500,2,8,16966,0.000999992,1.359724,21490.633363,0
openmp,guided,500,500,2,8,16966,0.000999992,1.369761,21490.633363,1
openmp,guided,500,500,2,8,16966,0.000999992,1.325713,21490.633363,2
openmp,guided,500,500,4,8,16966,0.000999992,0.699769,21490.633363,0
openmp,guided,500,500,4,8,16966,0.000999992,1.014240,21490.633363,1
openmp,guided,500,500,4,8,16966,0.000999992,1.010302,21490.633363,2
openmp,guided,500,500,8,8,16966,0.000999992,0.895448,21490.633363,0
openmp,guided,500,500,8,8,16966,0.000999992,1.056756,21490.633363,1
openmp,guided,500,500,8,8,16966,0.000999992,1.034475,21490.633363,2
openmp,guided,500,500,16,8,16966,0.000999992,1.268215,21490.633363,0
openmp,guided,500,500,16,8,16966,0.000999992,1.232497,21490.633363,1
openmp,guided,500,500,16,8,16966,0.000999992,1.246346,21490.633363,2
openmp,guided,500,500,32,8,16966,0.000999992,7.224572,21490.633363,0
openmp,guided,500,500,32,8,16966,0.000999992,3.738062,21490.633363,1
openmp,guided,500,500,32,8,16966,0.000999992,2.360543,21490.633363,2
pthread,static,500,500,1,8,16966,0.000999992,2.589199,21490.633363,0
pthread,static,500,500,1,8,16966,0.000999992,2.514218,21490.633363,1
pthread,static,500,500,1,8,16966,0.000999992,2.516420,21490.633363,2
pthread,static,500,500,2,8,16966,0.000999992,1.407895,21490.633363,0
pthread,static,500,500,2,8,16966,0.000999992,1.406853,21490.633363,1
pthread,static,500,500,2,8,16966,0.000999992,1.410408,21490.633363,2
pthread,static,500,500,4,8,16966,0.000999992,0.890166,21490.633363,0
pthread,static,500,500,4,8,16966,0.000999992,0.926761,21490.633363,1
pthread,static,500,500,4,8,16966,0.000999992,0.919865,21490.633363,2
pthread,static,500,500,8,8,16966,0.000999992,0.782394,21490.633363,0
pthread,static,500,500,8,8,16966,0.000999992,0.712076,21490.633363,1
pthread,static,500,500,8,8,16966,0.000999992,0.815574,21490.633363,2
pthread,static,500,500,16,8,16966,0.000999992,0.919276,21490.633363,0
pthread,static,500,500,16,8,16966,0.000999992,0.858529,21490.633363,1
