impl,schedule,threads,best_sec,median_sec,speedup_vs_openmp_1t
openmp,dynamic,1,2.509561,2.514608,1.01
openmp,dynamic,2,1.677590,1.705200,1.50
openmp,dynamic,4,0.951035,1.093615,2.65
openmp,dynamic,8,0.992890,1.032545,2.54
openmp,dynamic,16,0.960966,0.966676,2.63
openmp,dynamic,32,1.714986,1.978008,1.47
openmp,guided,1,2.483524,2.493507,1.02
openmp,guided,2,1.325713,1.359724,1.90
openmp,guided,4,0.699769,1.010302,3.61
openmp,guided,8,0.895448,1.034475,2.82
openmp,guided,16,1.232497,1.246346,2.05
openmp,guided,32,2.360543,3.738062,1.07
openmp,static,1,2.524401,2.553233,1.00
openmp,static,2,1.517800,1.530942,1.66
openmp,static,4,0.777903,0.824592,3.25
openmp,static,8,0.409867,0.617658,6.16
openmp,static,16,0.507067,0.605988,4.98
openmp,static,32,1.015963,1.105946,2.48
pthread,dynamic,1,2.546148,2.561103,0.99
pthread,dynamic,2,1.358491,1.701275,1.86
pthread,dynamic,4,0.929337,0.992715,2.72
pthread,dynamic,8,0.761681,0.816463,3.31
pthread,dynamic,16,1.072114,1.156819,2.35
pthread,dynamic,32,2.643740,2.825222,0.95
pthread,guided,1,2.540286,2.582814,0.99
pthread,guided,2,1.459532,1.489041,1.73
pthread,guided,4,0.955945,1.149871,2.64
pthread,guided,8,0.790733,0.803680,3.19
pthread,guided,16,1.140065,1.147441,2.21
pthread,guided,32,2.811902,3.083424,0.90
pthread,static,1,2.514218,2.516420,1.00
pthread,static,2,1.406853,1.407895,1.79
pthread,static,4,0.890166,0.919865,2.84
pthread,static,8,0.712076,0.782394,3.55
pthread,static,16,0.817104,0.858529,3.09
pthread,static,32,1.851336,1.891983,1.36
