FFT_MPI
  MPI C version
  Processes = 4
  Max ln2(N) = 20
             N      NITS    Error         Time          Time/Call     MFLOPS
             2     10000  7.859082e-17  3.175438e-03  1.587719e-07     62.983437
             4     10000  1.209837e-16  1.064483e-02  5.322414e-07     75.153868
             8     10000  6.605630e-17  1.896852e-02  9.484262e-07    126.525395
            16     10000  1.201601e-16  2.917936e-02  1.458968e-06    219.333103
            32      1000  1.306338e-16  5.523811e-03  2.761905e-06    289.655095
            64      1000  1.745831e-16  6.838132e-03  3.419066e-06    561.556870
           128      1000  1.883750e-16  9.615666e-03  4.807833e-06    931.812731
           256      1000  1.998135e-16  1.588325e-02  7.941625e-06   1289.408654
           512       100  1.833001e-16  3.240486e-03  1.620243e-05   1422.008921
          1024       100  2.229416e-16  7.884807e-03  3.942403e-05   1298.700146
          2048       100  2.466798e-16  7.472606e-03  3.736303e-05   3014.744789
          4096       100  2.408186e-16  1.327069e-02  6.635343e-05   3703.802501
          8192        10  2.573409e-16  2.295016e-03  1.147508e-04   4640.316233
         16384        10  2.679263e-16  4.267305e-03  2.133652e-04   5375.195820
         32768        10  2.886770e-16  8.067489e-03  4.033744e-04   6092.602048
         65536        10  2.802699e-16  1.641598e-02  8.207990e-04   6387.532149
        131072         1  3.103609e-16  2.956851e-03  1.478426e-03   7535.800756
        262144         1  3.209765e-16  6.979900e-03  3.489950e-03   6760.257310
        524288         1  3.256996e-16  2.027533e-02  1.013767e-02   4913.099569
       1048576         1  3.201128e-16  1.221548e-01  6.107738e-02   1716.799191
FFT_MPI: Normal end of execution.
