procs,N,nits,error,time_sec,time_per_call,mflops
1,2,10000,7.859082e-17,5.646880e-04,2.823440e-08,354.177882
1,4,10000,1.209837e-16,1.205022e-03,6.025110e-08,663.888294
1,8,10000,6.605630e-17,1.763839e-03,8.819195e-08,1360.668406
1,16,10000,1.201601e-16,2.607853e-03,1.303926e-07,2454.126057
1,32,1000,1.306338e-16,3.781580e-04,1.890790e-07,4231.035705
1,64,1000,1.745831e-16,5.973470e-04,2.986735e-07,6428.424350
1,128,1000,1.883750e-16,1.082268e-03,5.411340e-07,8278.910584
1,256,1000,1.998135e-16,1.953283e-03,9.766415e-07,10484.911813
1,512,100,1.833001e-16,3.523110e-04,1.761555e-06,13079.353185
1,1024,100,2.229416e-16,7.762220e-04,3.881110e-06,13192.102259
1,2048,100,2.466798e-16,2.086075e-03,1.043037e-05,10799.228216
1,4096,100,2.408186e-16,4.572677e-03,2.286339e-05,10749.064498
1,8192,10,2.573409e-16,9.390180e-04,4.695090e-05,11341.209647
1,16384,10,2.679263e-16,2.065127e-03,1.032563e-04,11107.113509
1,32768,10,2.886770e-16,5.080873e-03,2.540436e-04,9673.928083
1,65536,10,2.802699e-16,1.154551e-02,5.772756e-04,9082.109135
1,131072,1,3.103609e-16,2.433327e-03,1.216663e-03,9157.108765
1,262144,1,3.209765e-16,4.537043e-03,2.268522e-03,10400.148290
1,524288,1,3.256996e-16,9.497557e-03,4.748778e-03,10488.457190
1,1048576,1,3.201128e-16,2.250513e-02,1.125256e-02,9318.551340
16,2,10000,7.859082e-17,1.141594e-02,5.707969e-07,17.519366
16,4,10000,1.209837e-16,2.262922e-02,1.131461e-06,35.352525
16,8,10000,6.605630e-17,5.125720e-02,2.562860e-06,46.822688
16,16,10000,1.201601e-16,8.704811e-02,4.352405e-06,73.522564
16,32,1000,1.271315e-16,2.350361e-02,1.175180e-05,68.074652
16,64,1000,1.745831e-16,3.070438e-02,1.535219e-05,125.063602
16,128,1000,1.883750e-16,5.241108e-02,2.620554e-05,170.956227
16,256,1000,1.998135e-16,8.812343e-02,4.406171e-05,232.401303
16,512,100,1.833001e-16,1.578637e-02,7.893187e-05,291.897303
16,1024,100,2.229416e-16,2.755719e-02,1.377859e-04,371.590876
16,2048,100,2.466798e-16,4.492478e-02,2.246239e-04,501.460419
16,4096,100,2.408186e-16,8.281100e-02,4.140550e-04,593.544329
16,8192,10,2.573409e-16,1.514875e-02,7.574376e-04,703.001759
16,16384,10,2.679263e-16,2.822195e-02,1.411097e-03,812.757475
16,32768,10,2.886770e-16,5.383165e-02,2.691583e-03,913.068748
16,65536,10,2.802699e-16,1.247476e-01,6.237379e-03,840.558169
16,131072,1,3.103609e-16,3.243449e-02,1.621724e-02,686.992213
16,262144,1,3.209765e-16,7.253553e-02,3.626776e-02,650.521493
16,524288,1,3.256996e-16,2.354114e-01,1.177057e-01,423.151692
16,1048576,1,3.201128e-16,6.163296e-01,3.081648e-01,340.264678
2,2,10000,7.859082e-17,3.493226e-03,1.746613e-07,57.253668
2,4,10000,1.209837e-16,7.180574e-03,3.590287e-07,111.411706
2,8,10000,6.605630e-17,1.087539e-02,5.437693e-07,220.681822
2,16,10000,1.201601e-16,1.500520e-02,7.502599e-07,426.518864
2,32,1000,1.306338e-16,2.144080e-03,1.072040e-06,746.240812
2,64,1000,1.745831e-16,3.447973e-03,1.723987e-06,1113.697816
2,128,1000,1.883750e-16,4.543325e-03,2.271663e-06,1972.123940
2,256,1000,1.998135e-16,8.110194e-03,4.055097e-06,2525.217029
2,512,100,1.833001e-16,2.375692e-03,1.187846e-05,1939.645375
2,1024,100,2.229416e-16,3.494157e-03,1.747079e-05,2930.606724
2,2048,100,2.466798e-16,5.456176e-03,2.728088e-05,4128.899068
2,4096,100,2.408186e-16,9.772620e-03,4.886310e-05,5029.562185
2,8192,10,2.573409e-16,1.797360e-03,8.986800e-05,5925.134642
