impl,schedule,M,N,threads,chunk,iterations,diff,time_sec,checksum
openmp,static,128,128,1,8,4242,0.000999976,0.040610,1755.199898
openmp,static,128,128,1,8,4242,0.000999976,0.040589,1755.199898
openmp,static,128,128,1,8,4242,0.000999976,0.041991,1755.199898
openmp,static,128,128,2,8,4242,0.000999976,0.022769,1755.199898
openmp,static,128,128,2,8,4242,0.000999976,0.023070,1755.199898
openmp,static,128,128,2,8,4242,0.000999976,0.023082,1755.199898
openmp,static,128,128,4,8,4242,0.000999976,0.022121,1755.199898
openmp,static,128,128,4,8,4242,0.000999976,0.021941,1755.199898
openmp,static,128,128,4,8,4242,0.000999976,0.021096,1755.199898
openmp,static,128,128,8,8,4242,0.000999976,0.015727,1755.199898
openmp,static,128,128,8,8,4242,0.000999976,0.014256,1755.199898
openmp,static,128,128,8,8,4242,0.000999976,0.015964,1755.199898
openmp,static,128,128,16,8,4242,0.000999976,0.013534,1755.199898
openmp,static,128,128,16,8,4242,0.000999976,0.018432,1755.199898
openmp,static,128,128,16,8,4242,0.000999976,0.016911,1755.199898
openmp,static,128,128,32,8,4242,0.000999976,0.060225,1755.199898
openmp,static,128,128,32,8,4242,0.000999976,0.047138,1755.199898
openmp,static,128,128,32,8,4242,0.000999976,0.029011,1755.199898
openmp,static,256,256,1,8,10199,0.000999808,0.394154,5879.302548
openmp,static,256,256,1,8,10199,0.000999808,0.387794,5879.302548
openmp,static,256,256,1,8,10199,0.000999808,0.386823,5879.302548
openmp,static,256,256,2,8,10199,0.000999808,0.204321,5879.302548
openmp,static,256,256,2,8,10199,0.000999808,0.203310,5879.302548
openmp,static,256,256,2,8,10199,0.000999808,0.239080,5879.302548
openmp,static,256,256,4,8,10199,0.000999808,0.141271,5879.302548
openmp,static,256,256,4,8,10199,0.000999808,0.143520,5879.302548
openmp,static,256,256,4,8,10199,0.000999808,0.142994,5879.302548
openmp,static,256,256,8,8,10199,0.000999808,0.110392,5879.302548
openmp,static,256,256,8,8,10199,0.000999808,0.107741,5879.302548
openmp,static,256,256,8,8,10199,0.000999808,0.111346,5879.302548
openmp,static,256,256,16,8,10199,0.000999808,0.099424,5879.302548
openmp,static,256,256,16,8,10199,0.000999808,0.096254,5879.302548
openmp,static,256,256,16,8,10199,0.000999808,0.115695,5879.302548
openmp,static,256,256,32,8,10199,0.000999808,0.384927,5879.302548
openmp,static,256,256,32,8,10199,0.000999808,0.189304,5879.302548
openmp,static,256,256,32,8,10199,0.000999808,0.163299,5879.302548
openmp,static,512,512,1,8,17114,0.000999960,2.667727,21172.378482
openmp,static,512,512,1,8,17114,0.000999960,2.648996,21172.378482
openmp,static,512,512,1,8,17114,0.000999960,2.673907,21172.378482
openmp,static,512,512,2,8,17114,0.000999960,1.365695,21172.378482
openmp,static,512,512,2,8,17114,0.000999960,1.595821,21172.378482
openmp,static,512,512,2,8,17114,0.000999960,1.601150,21172.378482
openmp,static,512,512,4,8,17114,0.000999960,0.951228,21172.378482
openmp,static,512,512,4,8,17114,0.000999960,0.821121,21172.378482
openmp,static,512,512,4,8,17114,0.000999960,0.809865,21172.378482
openmp,static,512,512,8,8,17114,0.000999960,0.583495,21172.378482
openmp,static,512,512,8,8,17114,0.000999960,0.456545,21172.378482
openmp,static,512,512,8,8,17114,0.000999960,0.602158,21172.378482
openmp,static,512,512,16,8,17114,0.000999960,0.653328,21172.378482
openmp,static,512,512,16,8,17114,0.000999960,0.652966,21172.378482
openmp,static,512,512,16,8,17114,0.000999960,0.496520,21172.378482
openmp,static,512,512,32,8,17114,0.000999960,0.898640,21172.378482
openmp,static,512,512,32,8,17114,0.000999960,1.019453,21172.378482
openmp,static,512,512,32,8,17114,0.000999960,0.909897,21172.378482
openmp,static,1024,1024,1,8,18148,0.000999984,11.038375,86600.000000
openmp,static,1024,1024,1,8,18148,0.000999984,11.114272,86600.000000
openmp,static,1024,1024,1,8,18148,0.000999984,11.104049,86600.000000
openmp,static,1024,1024,2,8,18148,0.000999984,6.285893,86600.000000
openmp,static,1024,1024,2,8,18148,0.000999984,6.318845,86600.000000
openmp,static,1024,1024,2,8,18148,0.000999984,5.778202,86600.000000
openmp,static,1024,1024,4,8,18148,0.000999984,3.810033,86600.000000
openmp,static,1024,1024,4,8,18148,0.000999984,3.328023,86600.000000
openmp,static,1024,1024,4,8,18148,0.000999984,3.063472,86600.000000
openmp,static,1024,1024,8,8,18148,0.000999984,2.195504,86600.000000
openmp,static,1024,1024,8,8,18148,0.000999984,2.569598,86600.000000
openmp,static,1024,1024,8,8,18148,0.000999984,1.758254,86600.000000
openmp,static,1024,1024,16,8,18148,0.000999984,1.875833,86600.000000
openmp,static,1024,1024,16,8,18148,0.000999984,2.068866,86600.000000
openmp,static,1024,1024,16,8,18148,0.000999984,2.084588,86600.000000
openmp,static,1024,1024,32,8,18148,0.000999984,2.761999,86600.000000
openmp,static,1024,1024,32,8,18148,0.000999984,2.750537,86600.000000
openmp,static,1024,1024,32,8,18148,0.000999984,2.947252,86600.000000
openmp,static,2048,2048,1,8,18148,0.000999986,48.199472,336455.981718
openmp,static,2048,2048,1,8,18148,0.000999986,68.989008,336455.981718
openmp,static,2048,2048,1,8,18148,0.000999986,68.884458,336455.981718
openmp,static,2048,2048,2,8,18148,0.000999986,30.639196,336455.981718
openmp,static,2048,2048,2,8,18148,0.000999986,30.375551,336455.981718
openmp,static,2048,2048,2,8,18148,0.000999986,30.813752,336455.981718
openmp,static,2048,2048,4,8,18148,0.000999986,17.240486,336455.981718
openmp,static,2048,2048,4,8,18148,0.000999986,15.898312,336455.981718
openmp,static,2048,2048,4,8,18148,0.000999986,17.019985,336455.981718
openmp,static,2048,2048,8,8,18148,0.000999986,11.769632,336455.981718
openmp,static,2048,2048,8,8,18148,0.000999986,11.472300,336455.981718
openmp,static,2048,2048,8,8,18148,0.000999986,10.224697,336455.981718
openmp,static,2048,2048,16,8,18148,0.000999986,6.138615,336455.981718
openmp,static,2048,2048,16,8,18148,0.000999986,7.517934,336455.981718
openmp,static,2048,2048,16,8,18148,0.000999986,8.073520,336455.981718
openmp,static,2048,2048,32,8,18148,0.000999986,12.081202,336455.981718
openmp,static,2048,2048,32,8,18148,0.000999986,12.948316,336455.981718
openmp,static,2048,2048,32,8,18148,0.000999986,12.826647,336455.981718
