N,threads,iterations,diff,avg_time_sec,speedup_vs_1thread,efficiency,checksum
128,1,4242,0.000999976,0.041063,1.000000,1.000000,1755.199898
128,2,4242,0.000999976,0.022974,1.787409,0.893704,1755.199898
128,4,4242,0.000999976,0.021719,1.890635,0.472659,1755.199898
128,8,4242,0.000999976,0.015316,2.681133,0.335142,1755.199898
128,16,4242,0.000999976,0.016292,2.520408,0.157526,1755.199898
128,32,4242,0.000999976,0.045458,0.903325,0.028229,1755.199898
256,1,10199,0.000999808,0.389590,1.000000,1.000000,5879.302548
256,2,10199,0.000999808,0.215570,1.807254,0.903627,5879.302548
256,4,10199,0.000999808,0.142595,2.732146,0.683036,5879.302548
256,8,10199,0.000999808,0.109826,3.547331,0.443416,5879.302548
256,16,10199,0.000999808,0.103791,3.753604,0.234600,5879.302548
256,32,10199,0.000999808,0.245843,1.584710,0.049522,5879.302548
512,1,17114,0.000999960,2.663543,1.000000,1.000000,21172.378482
512,2,17114,0.000999960,1.520889,1.751307,0.875654,21172.378482
512,4,17114,0.000999960,0.860738,3.094488,0.773622,21172.378482
512,8,17114,0.000999960,0.547399,4.865814,0.608227,21172.378482
512,16,17114,0.000999960,0.600938,4.432310,0.277019,21172.378482
512,32,17114,0.000999960,0.942663,2.825551,0.088298,21172.378482
1024,1,18148,0.000999984,11.085565,1.000000,1.000000,86600.000000
1024,2,18148,0.000999984,6.127647,1.809106,0.904553,86600.000000
1024,4,18148,0.000999984,3.400509,3.259972,0.814993,86600.000000
1024,8,18148,0.000999984,2.174452,5.098096,0.637262,86600.000000
1024,16,18148,0.000999984,2.009762,5.515859,0.344741,86600.000000
1024,32,18148,0.000999984,2.819929,3.931150,0.122848,86600.000000
2048,1,18148,0.000999986,62.024313,1.000000,1.000000,336455.981718
2048,2,18148,0.000999986,30.609500,2.026309,1.013155,336455.981718
2048,4,18148,0.000999986,16.719594,3.709678,0.927420,336455.981718
2048,8,18148,0.000999986,11.155543,5.559955,0.694994,336455.981718
2048,16,18148,0.000999986,7.243356,8.562924,0.535183,336455.981718
2048,32,18148,0.000999986,12.618722,4.915261,0.153602,336455.981718
