variant,n,tile,block_rows,threads_per_block,repeat,time_ms,bandwidth_gbs
naive_write_strided,512,8,4,32,20000,0.006141,341.501
naive_write_strided,512,8,8,64,20000,0.004094,512.246
naive_write_strided,512,16,4,64,20000,0.004094,512.246
naive_write_strided,512,16,8,128,20000,0.002049,1023.494
naive_write_strided,512,16,16,256,20000,0.002049,1023.497
naive_write_strided,512,32,4,128,20000,0.004098,511.746
naive_write_strided,512,32,8,256,20000,0.004098,511.745
naive_write_strided,512,32,16,512,20000,0.004203,498.997
naive_write_strided,512,32,32,1024,20000,0.004098,511.738
naive_write_strided,512,64,4,256,20000,0.004098,511.746
naive_write_strided,512,64,8,512,20000,0.004098,511.746
naive_write_strided,512,64,16,1024,20000,0.004098,511.746
naive_read_strided,512,8,4,32,20000,0.006141,341.497
naive_read_strided,512,8,8,64,20000,0.004094,512.246
naive_read_strided,512,16,4,64,20000,0.004094,512.245
naive_read_strided,512,16,8,128,20000,0.002049,1023.495
naive_read_strided,512,16,16,256,20000,0.002049,1023.544
naive_read_strided,512,32,4,128,20000,0.002049,1023.495
naive_read_strided,512,32,8,256,20000,0.002049,1023.496
naive_read_strided,512,32,16,512,20000,0.002049,1023.498
naive_read_strided,512,32,32,1024,20000,0.004094,512.244
naive_read_strided,512,64,4,256,20000,0.002049,1023.502
naive_read_strided,512,64,8,512,20000,0.002049,1023.497
naive_read_strided,512,64,16,1024,20000,0.004094,512.244
tiled_nopad,512,8,4,32,20000,0.004094,512.246
tiled_nopad,512,8,8,64,20000,0.004094,512.247
tiled_nopad,512,16,4,64,20000,0.002049,1023.521
tiled_nopad,512,16,8,128,20000,0.002049,1023.516
tiled_nopad,512,16,16,256,20000,0.002049,1023.527
tiled_nopad,512,32,4,128,20000,0.003854,544.184
tiled_nopad,512,32,8,256,20000,0.002690,779.719
tiled_nopad,512,32,16,512,20000,0.002049,1023.495
tiled_nopad,512,32,32,1024,20000,0.004094,512.245
tiled_nopad,512,64,4,256,20000,0.004094,512.245
tiled_nopad,512,64,8,512,20000,0.004094,512.219
tiled_nopad,512,64,16,1024,20000,0.004094,512.219
tiled_pad,512,8,4,32,20000,0.004094,512.245
tiled_pad,512,8,8,64,20000,0.004094,512.245
tiled_pad,512,16,4,64,20000,0.002049,1023.514
tiled_pad,512,16,8,128,20000,0.002049,1023.549
tiled_pad,512,16,16,256,20000,0.002049,1023.532
tiled_pad,512,32,4,128,20000,0.002049,1023.492
tiled_pad,512,32,8,256,20000,0.002049,1023.526
tiled_pad,512,32,16,512,20000,0.002049,1023.550
tiled_pad,512,32,32,1024,20000,0.002049,1023.496
tiled_pad,512,64,4,256,20000,0.002049,1023.443
tiled_pad,512,64,8,512,20000,0.002049,1023.522
tiled_pad,512,64,16,1024,20000,0.002049,1023.495
naive_write_strided,768,8,4,32,20000,0.010244,460.622
naive_write_strided,768,8,8,64,20000,0.006141,768.367
naive_write_strided,768,16,4,64,20000,0.006141,768.366
naive_write_strided,768,16,8,128,20000,0.004098,1151.428
naive_write_strided,768,16,16,256,20000,0.004098,1151.428
naive_write_strided,768,32,4,128,20000,0.008188,576.278
naive_write_strided,768,32,8,256,20000,0.008188,576.278
naive_write_strided,768,32,16,512,20000,0.008188,576.271
naive_write_strided,768,32,32,1024,20000,0.008188,576.257
naive_write_strided,768,64,4,256,20000,0.008188,576.278
naive_write_strided,768,64,8,512,20000,0.008188,576.279
naive_write_strided,768,64,16,1024,20000,0.008188,576.274
naive_read_strided,768,8,4,32,20000,0.010245,460.580
naive_read_strided,768,8,8,64,20000,0.006141,768.367
naive_read_strided,768,16,4,64,20000,0.006141,768.367
naive_read_strided,768,16,8,128,20000,0.004098,1151.455
naive_read_strided,768,16,16,256,20000,0.004100,1150.738
naive_read_strided,768,32,4,128,20000,0.004098,1151.456
naive_read_strided,768,32,8,256,20000,0.004094,1152.550
naive_read_strided,768,32,16,512,20000,0.004094,1152.550
naive_read_strided,768,32,32,1024,20000,0.004098,1151.427
naive_read_strided,768,64,4,256,20000,0.004094,1152.550
naive_read_strided,768,64,8,512,20000,0.004094,1152.550
naive_read_strided,768,64,16,1024,20000,0.004098,1151.429
tiled_nopad,768,8,4,32,20000,0.006142,768.251
tiled_nopad,768,8,8,64,20000,0.006141,768.366
tiled_nopad,768,16,4,64,20000,0.004094,1152.580
tiled_nopad,768,16,8,128,20000,0.004094,1152.581
tiled_nopad,768,16,16,256,20000,0.004094,1152.552
tiled_nopad,768,32,4,128,20000,0.004094,1152.554
tiled_nopad,768,32,8,256,20000,0.004094,1152.551
tiled_nopad,768,32,16,512,20000,0.004094,1152.552
tiled_nopad,768,32,32,1024,20000,0.004098,1151.429
tiled_nopad,768,64,4,256,20000,0.004098,1151.544
tiled_nopad,768,64,8,512,20000,0.004098,1151.484
tiled_nopad,768,64,16,1024,20000,0.004094,1152.553
tiled_pad,768,8,4,32,20000,0.006142,768.238
tiled_pad,768,8,8,64,20000,0.006141,768.367
tiled_pad,768,16,4,64,20000,0.004094,1152.580
tiled_pad,768,16,8,128,20000,0.004094,1152.580
tiled_pad,768,16,16,256,20000,0.004094,1152.579
tiled_pad,768,32,4,128,20000,0.002049,2302.874
tiled_pad,768,32,8,256,20000,0.002049,2302.863
tiled_pad,768,32,16,512,20000,0.002049,2302.868
tiled_pad,768,32,32,1024,20000,0.004094,1152.569
tiled_pad,768,64,4,256,20000,0.004094,1152.579
tiled_pad,768,64,8,512,20000,0.004094,1152.579
tiled_pad,768,64,16,1024,20000,0.004094,1152.580
naive_write_strided,1024,8,4,32,20000,0.016392,511.749
naive_write_strided,1024,8,8,64,20000,0.010235,819.594
naive_write_strided,1024,16,4,64,20000,0.010235,819.603
naive_write_strided,1024,16,8,128,20000,0.006142,1365.758
naive_write_strided,1024,16,16,256,20000,0.006141,1365.985
naive_write_strided,1024,32,4,128,20000,0.012282,682.998
naive_write_strided,1024,32,8,256,20000,0.012282,682.998
naive_write_strided,1024,32,16,512,20000,0.012282,682.986
naive_write_strided,1024,32,32,1024,20000,0.012291,682.525
naive_write_strided,1024,64,4,256,20000,0.012282,682.997
naive_write_strided,1024,64,8,512,20000,0.012282,682.997
naive_write_strided,1024,64,16,1024,20000,0.012282,682.998
naive_read_strided,1024,8,4,32,20000,0.016392,511.750
naive_read_strided,1024,8,8,64,20000,0.010235,819.596
naive_read_strided,1024,16,4,64,20000,0.010235,819.595
naive_read_strided,1024,16,8,128,20000,0.006141,1365.985
naive_read_strided,1024,16,16,256,20000,0.004094,2048.980
naive_read_strided,1024,32,4,128,20000,0.006141,1365.985
naive_read_strided,1024,32,8,256,20000,0.004098,2046.984
naive_read_strided,1024,32,16,512,20000,0.004098,2046.932
naive_read_strided,1024,32,32,1024,20000,0.006147,1364.665
naive_read_strided,1024,64,4,256,20000,0.004098,2046.983
naive_read_strided,1024,64,8,512,20000,0.004098,2046.983
naive_read_strided,1024,64,16,1024,20000,0.006147,1364.667
tiled_nopad,1024,8,4,32,20000,0.010242,819.070
tiled_nopad,1024,8,8,64,20000,0.010235,819.595
tiled_nopad,1024,16,4,64,20000,0.004094,2048.984
tiled_nopad,1024,16,8,128,20000,0.004094,2048.980
tiled_nopad,1024,16,16,256,20000,0.004097,2047.394
tiled_nopad,1024,32,4,128,20000,0.006141,1365.986
tiled_nopad,1024,32,8,256,20000,0.004098,2046.881
tiled_nopad,1024,32,16,512,20000,0.006141,1366.013
tiled_nopad,1024,32,32,1024,20000,0.006147,1364.666
tiled_nopad,1024,64,4,256,20000,0.006141,1365.988
tiled_nopad,1024,64,8,512,20000,0.006141,1365.987
tiled_nopad,1024,64,16,1024,20000,0.006141,1365.985
tiled_pad,1024,8,4,32,20000,0.010235,819.595
tiled_pad,1024,8,8,64,20000,0.010235,819.596
tiled_pad,1024,16,4,64,20000,0.004094,2048.981
tiled_pad,1024,16,8,128,20000,0.004094,2048.980
tiled_pad,1024,16,16,256,20000,0.004094,2048.982
tiled_pad,1024,32,4,128,20000,0.004094,2048.979
tiled_pad,1024,32,8,256,20000,0.004094,2048.981
tiled_pad,1024,32,16,512,20000,0.004094,2048.976
tiled_pad,1024,32,32,1024,20000,0.004098,2046.981
tiled_pad,1024,64,4,256,20000,0.004094,2048.980
tiled_pad,1024,64,8,512,20000,0.004094,2048.979
tiled_pad,1024,64,16,1024,20000,0.004094,2048.979
naive_write_strided,1536,8,4,32,9564,0.035127,537.325
naive_write_strided,1536,8,8,64,19100,0.018441,1023.501
naive_write_strided,1536,16,4,64,19044,0.018441,1023.505
naive_write_strided,1536,16,8,128,20000,0.014329,1317.208
naive_write_strided,1536,16,16,256,20000,0.014329,1317.208
naive_write_strided,1536,32,4,128,13928,0.024667,765.162
naive_write_strided,1536,32,8,256,13247,0.026440,713.851
naive_write_strided,1536,32,16,512,12965,0.026611,709.262
naive_write_strided,1536,32,32,1024,13126,0.026637,708.585
naive_write_strided,1536,64,4,256,13975,0.024593,767.474
naive_write_strided,1536,64,8,512,13016,0.025689,734.713
naive_write_strided,1536,64,16,1024,13178,0.026611,709.268
naive_read_strided,1536,8,4,32,9902,0.034887,541.014
naive_read_strided,1536,8,8,64,19022,0.018447,1023.140
naive_read_strided,1536,16,4,64,18891,0.018441,1023.499
naive_read_strided,1536,16,8,128,20000,0.010245,1842.300
naive_read_strided,1536,16,16,256,20000,0.006147,3070.499
naive_read_strided,1536,32,4,128,20000,0.010245,1842.300
naive_read_strided,1536,32,8,256,20000,0.008188,2305.113
naive_read_strided,1536,32,16,512,20000,0.008188,2305.114
naive_read_strided,1536,32,32,1024,20000,0.012282,1536.745
naive_read_strided,1536,64,4,256,20000,0.008196,2302.867
naive_read_strided,1536,64,8,512,20000,0.008188,2305.116
naive_read_strided,1536,64,16,1024,20000,0.012282,1536.744
tiled_nopad,1536,8,4,32,18342,0.018441,1023.499
tiled_nopad,1536,8,8,64,18539,0.018441,1023.507
tiled_nopad,1536,16,4,64,20000,0.006147,3070.545
tiled_nopad,1536,16,8,128,20000,0.006147,3070.501
tiled_nopad,1536,16,16,256,20000,0.006147,3070.498
tiled_nopad,1536,32,4,128,20000,0.008329,2266.048
tiled_nopad,1536,32,8,256,20000,0.008196,2302.872
tiled_nopad,1536,32,16,512,20000,0.008196,2302.867
tiled_nopad,1536,32,32,1024,20000,0.012294,1535.260
tiled_nopad,1536,64,4,256,20000,0.010235,1844.087
tiled_nopad,1536,64,8,512,20000,0.010235,1844.086
tiled_nopad,1536,64,16,1024,20000,0.010235,1844.087
tiled_pad,1536,8,4,32,18967,0.018441,1023.500
tiled_pad,1536,8,8,64,18373,0.018441,1023.499
tiled_pad,1536,16,4,64,20000,0.006147,3070.547
tiled_pad,1536,16,8,128,20000,0.006147,3070.546
tiled_pad,1536,16,16,256,20000,0.006147,3070.547
tiled_pad,1536,32,4,128,20000,0.006141,3073.466
tiled_pad,1536,32,8,256,20000,0.006134,3077.024
tiled_pad,1536,32,16,512,20000,0.006141,3073.470
tiled_pad,1536,32,32,1024,20000,0.008188,2305.112
tiled_pad,1536,64,4,256,20000,0.006141,3073.465
tiled_pad,1536,64,8,512,20000,0.006141,3073.464
tiled_pad,1536,64,16,1024,20000,0.006146,3071.109
naive_write_strided,2048,8,4,32,5498,0.061683,543.980
naive_write_strided,2048,8,8,64,10727,0.032752,1024.497
naive_write_strided,2048,16,4,64,10780,0.032764,1024.131
naive_write_strided,2048,16,8,128,19055,0.017983,1865.881
naive_write_strided,2048,16,16,256,18591,0.018441,1819.510
naive_write_strided,2048,32,4,128,8871,0.038938,861.731
naive_write_strided,2048,32,8,256,8537,0.040938,819.645
naive_write_strided,2048,32,16,512,8457,0.040949,819.428
naive_write_strided,2048,32,32,1024,8352,0.041925,800.346
naive_write_strided,2048,64,4,256,8895,0.038931,861.894
naive_write_strided,2048,64,8,512,8550,0.039727,844.623
naive_write_strided,2048,64,16,1024,8568,0.040940,819.598
naive_read_strided,2048,8,4,32,5662,0.061476,545.812
naive_read_strided,2048,8,8,64,10748,0.032752,1024.495
naive_read_strided,2048,16,4,64,10689,0.032752,1024.495
naive_read_strided,2048,16,8,128,20000,0.016392,2046.998
naive_read_strided,2048,16,16,256,20000,0.010235,3278.379
naive_read_strided,2048,32,4,128,20000,0.016392,2046.998
naive_read_strided,2048,32,8,256,20000,0.012282,2731.990
naive_read_strided,2048,32,16,512,20000,0.012282,2731.991
naive_read_strided,2048,32,32,1024,17298,0.020470,1639.193
naive_read_strided,2048,64,4,256,20000,0.012294,2729.350
naive_read_strided,2048,64,8,512,20000,0.012282,2731.991
naive_read_strided,2048,64,16,1024,17099,0.019348,1734.259
tiled_nopad,2048,8,4,32,10755,0.032769,1023.980
